speaker,part,order,item_id,tone,text,addressee,note
spk01,A,1,A07,question,二十號,to_agent,
spk01,A,2,A13,question,下個禮拜三,to_agent,
spk01,A,3,A16,statement,九龍塘,to_agent,
spk01,A,4,A19,statement,馬鞍山,to_agent,
spk01,A,5,A06,statement,五號,to_agent,
spk01,A,6,A05,question,九百九十九蚊,to_agent,
spk01,A,7,A10,question,十一點,to_agent,
spk01,A,8,A29,question,年費,to_agent,
spk01,A,9,A19,question,馬鞍山,to_agent,
spk01,A,10,A07,statement,二十號,to_agent,
spk01,A,11,A06,question,五號,to_agent,
spk01,A,12,A12,statement,八點半,to_agent,
spk01,A,13,A03,question,一千五百蚊,to_agent,
spk01,A,14,A05,statement,九百九十九蚊,to_agent,
spk01,A,15,A08,statement,二十八號,to_agent,
spk01,A,16,A04,statement,二百三十八蚊,to_agent,
spk01,A,17,A25,question,20GB,to_agent,
spk01,A,18,A27,question,家居寬頻,to_agent,
spk01,A,19,A14,statement,月尾,to_agent,
spk01,A,20,A16,question,九龍塘,to_agent,
spk01,A,21,A27,statement,家居寬頻,to_agent,
spk01,A,22,A14,question,月尾,to_agent,
spk01,A,23,A30,question,兩部機,to_agent,
spk01,A,24,A29,statement,年費,to_agent,
spk01,A,25,A21,statement,深水埗,to_agent,
spk01,A,26,A28,question,行政費,to_agent,
spk01,A,27,A25,statement,20GB,to_agent,
spk01,A,28,A18,question,太子,to_agent,
spk01,A,29,A24,question,一個禮拜,to_agent,
spk01,A,30,A02,question,七十蚊,to_agent,
spk01,A,31,A17,question,北角,to_agent,
spk01,A,32,A20,question,天水圍,to_agent,
spk01,A,33,A09,question,三點半,to_agent,
spk01,A,34,A20,statement,天水圍,to_agent,
spk01,A,35,A11,statement,下晝五點,to_agent,
spk01,A,36,A28,statement,行政費,to_agent,
spk01,A,37,A03,statement,一千五百蚊,to_agent,
spk01,A,38,A01,question,四百蚊,to_agent,
spk01,A,39,A17,statement,北角,to_agent,
spk01,A,40,A26,question,100GB,to_agent,
spk01,A,41,A15,question,月頭,to_agent,
spk01,A,42,A08,question,二十八號,to_agent,
spk01,A,43,A21,question,深水埗,to_agent,
spk01,A,44,A02,statement,七十蚊,to_agent,
spk01,A,45,A22,question,十八個月,to_agent,
spk01,A,46,A30,statement,兩部機,to_agent,
spk01,A,47,A11,question,下晝五點,to_agent,
spk01,A,48,A15,statement,月頭,to_agent,
spk01,A,49,A01,statement,四百蚊,to_agent,
spk01,A,50,A23,question,三十六個月,to_agent,
spk01,A,51,A22,statement,十八個月,to_agent,
spk01,A,52,A04,question,二百三十八蚊,to_agent,
spk01,A,53,A24,statement,一個禮拜,to_agent,
spk01,A,54,A13,statement,下個禮拜三,to_agent,
spk01,A,55,A12,question,八點半,to_agent,
spk01,A,56,A18,statement,太子,to_agent,
spk01,A,57,A10,statement,十一點,to_agent,
spk01,A,58,A23,statement,三十六個月,to_agent,
spk01,A,59,A09,statement,三點半,to_agent,
spk01,A,60,A26,statement,100GB,to_agent,
spk01,B,1,B-TA09,,咁幾時會有人打俾我,to_agent,
spk01,B,2,B-SD05,,"阿爸,你鎖咗門未",side,
